title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
Sonic the Hedgehog,319715683,355%,3.6,90,149,46.60%,171,53.40%,2020,2020's
Sonic the Hedgehog 2,402656846,366%,3.7,110,191,47.40%,212,52.60%,2022,2020's
Spectre,880705312,294%,2.9,300,200,22.70%,681,77.30%,2015,2010's
Speed,350448145,947%,9.5,37,121,34.60%,229,65.40%,1994,1990's
Spider-Man,825025036,594%,5.9,139,407,49.30%,418,50.70%,2002,2000's
Spider-Man 2,788976453,394%,3.9,200,374,47.40%,415,52.60%,2004,2000's
Spider-Man 3,894983373,358%,3.6,250,337,37.60%,558,62.40%,2007,2000's
Spider-Man: Far from Home,1131927996,707%,7.1,160,391,34.50%,741,65.50%,2019,2010's
Spider-Man: Homecoming,880166924,503%,5,175,334,38.00%,546,62.00%,2017,2010's
Spider-Man: Into the Spider-Verse,384256930,427%,4.3,90,190,49.50%,194,50.50%,2018,2010's
Spider-Man: No Way Home,1971439845,986%,9.9,200,814,41.30%,1157,58.70%,2021,2020's
Spirited Away,355725195,1872%,18.7,19,14,3.90%,342,96.10%,2001,2000's
Split,278304578,3092%,30.9,9,138.1,49.60%,140.2,50.40%,2017,2010's
Star Trek,385680446,257%,2.6,150,258,66.80%,128,33.20%,2009,2000's
Star Trek Beyond,343471816,186%,1.9,185,159,46.20%,185,53.80%,2016,2010's
Star Trek Into Darkness,467365246,246%,2.5,190,229,49.00%,239,51.00%,2013,2010's
Star Wars,775398007,7049%,70.5,11,461,59.40%,314,40.60%,1977,1970's
Suicide Squad,746846894,404%,4,185,325,43.50%,422,56.50%,2016,2010's
Superman Returns,391081192,175%,1.8,223,200,51.20%,191,48.80%,2006,2000's
Taken 2,376152455,836%,8.4,45,140,37.20%,236,62.80%,2012,2010's
Taken 3,326479141,680%,6.8,48,89,27.30%,237,72.70%,2015,2010's
Tangled,592462816,228%,2.3,260,201,33.90%,392,66.10%,2010,2010's
Tarzan,448191819,345%,3.4,130,171,38.20%,277,61.80%,1999,1990's
Ted,549368315,845%,8.5,65,219,39.80%,331,60.20%,2012,2010's
Teenage Mutant Ninja Turtles,485004754,323%,3.2,150,191,39.40%,294,60.60%,2014,2010's
Tenet,365294355,183%,1.8,200,59,16.00%,307,84.00%,2020,2020's
Terminator 2,520881154,521%,5.2,100,206,39.50%,315,60.50%,1991,1990's
Terminator 3,433371112,232%,2.3,187,150,34.70%,283,65.30%,2003,2000's
Terminator Genisys,440603537,284%,2.8,155,90,20.40%,351,79.60%,2015,2010's
Terminator Salvation,371353001,186%,1.9,200,125,33.80%,246,66.20%,2009,2000's
The Adventures of Tintin,373993951,277%,2.8,135,78,20.80%,296,79.20%,2011,2010's
The Amazing Spider-Man,757930663,330%,3.3,230,262,34.60%,496,65.40%,2012,2010's
The Amazing Spider-Man 2,708982323,242%,2.4,293,203,28.60%,506,71.40%,2014,2010's
The Angry Birds Movie,352333929,483%,4.8,73,108,30.50%,245,69.50%,2016,2010's
